h3,base,pdmg,cems,lisa,product
88674ec017fffff,984,27,0.0,ns,OSU
88674ec019fffff,329,6,0.0,ns,OSU
88674ec01bfffff,1003,1,0.0,ns,OSU
88674ec031fffff,280,0,0.0,ns,OSU
88674ec033fffff,1026,26,0.0,ns,OSU
88674ec037fffff,61,0,0.0,ns,OSU
88674ec039fffff,289,1,0.0,ns,OSU
88674ec03bfffff,1727,66,0.0,ns,OSU
88674ec081fffff,243,31,0.0,ns,OSU
88674ec083fffff,742,1,0.0,ns,OSU
88674ec085fffff,204,0,0.0,ns,OSU
88674ec087fffff,786,4,0.0,ns,OSU
88674ec089fffff,221,16,0.0,ns,OSU
88674ec08bfffff,314,0,0.0,ns,OSU
88674ec08dfffff,95,0,0.0,ns,OSU
88674ec091fffff,909,0,0.0,ns,OSU
88674ec093fffff,597,13,0.0,ns,OSU
88674ec095fffff,1314,0,0.0,ns,OSU
88674ec097fffff,1524,5,0.0,ns,OSU
88674ec09bfffff,28,0,0.0,ns,OSU
88674ec09dfffff,445,0,0.0,ns,OSU
88674ec0a1fffff,896,8,0.0,ns,OSU
88674ec0a3fffff,959,0,0.0,ns,OSU
88674ec0a5fffff,5,0,0.0,ns,OSU
88674ec0a7fffff,47,0,0.0,ns,OSU
88674ec0a9fffff,1639,0,0.0,ns,OSU
88674ec0abfffff,841,0,0.0,ns,OSU
88674ec0adfffff,34,0,0.0,ns,OSU
88674ec0b1fffff,212,2,0.0,ns,OSU
88674ec0b3fffff,1327,0,0.0,ns,OSU
88674ec0b5fffff,837,7,0.0,ns,OSU
88674ec0b7fffff,1130,2,0.0,ns,OSU
88674ec0b9fffff,1391,20,0.0,ns,OSU
88674ec0bbfffff,1177,3,0.0,ns,OSU
88674ec0bdfffff,1037,25,0.0,ns,OSU
88674ec0c1fffff,223,41,0.0,ns,OSU
88674ec0c3fffff,54,3,0.0,ns,OSU
88674ec0c5fffff,406,1,0.0,ns,OSU
88674ec0c7fffff,39,0,0.0,ns,OSU
88674ec0c9fffff,124,0,0.0,ns,OSU
88674ec0cbfffff,4,0,0.0,ns,OSU
88674ec0cdfffff,874,0,0.0,ns,OSU
88674ec0d1fffff,25,0,0.0,ns,OSU
88674ec0d5fffff,162,16,0.0,ns,OSU
88674ec0d7fffff,2,0,0.0,ns,OSU
88674ec0d9fffff,14,0,0.0,ns,OSU
88674ec0ddfffff,69,0,0.0,ns,OSU
88674ec0e1fffff,162,5,3.0,ns,OSU
88674ec0e3fffff,284,8,0.0,ns,OSU
88674ec0e5fffff,310,9,0.0,ns,OSU
88674ec0e7fffff,78,0,0.0,ns,OSU
88674ec0e9fffff,865,3,0.0,ns,OSU
88674ec0ebfffff,128,7,0.0,ns,OSU
88674ec0edfffff,1267,2,0.0,ns,OSU
88674ec133fffff,1018,5,0.0,ns,OSU
88674ec135fffff,319,3,0.0,ns,OSU
88674ec137fffff,1482,1,0.0,ns,OSU
88674ec181fffff,75,0,0.0,ns,OSU
88674ec183fffff,863,0,0.0,ns,OSU
88674ec185fffff,86,0,0.0,ns,OSU
88674ec187fffff,21,2,0.0,ns,OSU
88674ec189fffff,2,0,0.0,ns,OSU
88674ec18bfffff,18,0,0.0,ns,OSU
88674ec191fffff,366,1,0.0,ns,OSU
88674ec193fffff,74,0,0.0,ns,OSU
