region,lens,radius,predictor,metric,value,source
core,cells-agreement,8,UH,rho_frac,0.24,pipeline/ranking.py
core,cells-agreement,8,UH,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,UH,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,LIST,rho,0.737,pipeline/ranking.py
core,cells-agreement,8,LIST,top20,0.65,pipeline/ranking.py
core,cells-agreement,8,LIST,top20_exp,0.65,pipeline/ranking.py
core,cells-agreement,8,LIST,rho_frac,0.69,pipeline/ranking.py
core,cells-agreement,8,LIST,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,LIST,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,UNEP,rho,0.579,pipeline/ranking.py
core,cells-agreement,8,UNEP,top20,0.4,pipeline/ranking.py
core,cells-agreement,8,UNEP,top20_exp,0.4,pipeline/ranking.py
core,cells-agreement,8,UNEP,rho_frac,0.384,pipeline/ranking.py
core,cells-agreement,8,UNEP,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,UNEP,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,geography null,rho,0.644,pipeline/ranking.py
core,cells-agreement,8,geography null,top20,0.45,pipeline/ranking.py
core,cells-agreement,8,geography null,top20_exp,0.45,pipeline/ranking.py
core,cells-agreement,8,geography null,rho_frac,0.493,pipeline/ranking.py
core,cells-agreement,8,geography null,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,geography null,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,vote sum,rho,0.695,pipeline/ranking.py
core,cells-agreement,8,vote sum,top20,0.45,pipeline/ranking.py
core,cells-agreement,8,vote sum,top20_exp,0.45,pipeline/ranking.py
core,cells-agreement,8,vote sum,rho_frac,0.726,pipeline/ranking.py
core,cells-agreement,8,vote sum,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,vote sum,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,1-of-6,rho,0.627,pipeline/ranking.py
core,cells-agreement,8,1-of-6,top20,0.45,pipeline/ranking.py
core,cells-agreement,8,1-of-6,top20_exp,0.45,pipeline/ranking.py
core,cells-agreement,8,1-of-6,rho_frac,0.655,pipeline/ranking.py
core,cells-agreement,8,1-of-6,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,1-of-6,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,2-of-6,rho,0.724,pipeline/ranking.py
core,cells-agreement,8,2-of-6,top20,0.5,pipeline/ranking.py
core,cells-agreement,8,2-of-6,top20_exp,0.5,pipeline/ranking.py
core,cells-agreement,8,2-of-6,rho_frac,0.741,pipeline/ranking.py
core,cells-agreement,8,2-of-6,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,2-of-6,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,3-of-6,rho,0.783,pipeline/ranking.py
core,cells-agreement,8,3-of-6,top20,0.6,pipeline/ranking.py
core,cells-agreement,8,3-of-6,top20_exp,0.6,pipeline/ranking.py
core,cells-agreement,8,3-of-6,rho_frac,0.735,pipeline/ranking.py
core,cells-agreement,8,3-of-6,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,3-of-6,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,4-of-6,rho,0.783,pipeline/ranking.py
core,cells-agreement,8,4-of-6,top20,0.65,pipeline/ranking.py
core,cells-agreement,8,4-of-6,top20_exp,0.65,pipeline/ranking.py
core,cells-agreement,8,4-of-6,rho_frac,0.732,pipeline/ranking.py
core,cells-agreement,8,4-of-6,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,4-of-6,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,5-of-6,rho,0.684,pipeline/ranking.py
core,cells-agreement,8,5-of-6,top20,0.75,pipeline/ranking.py
core,cells-agreement,8,5-of-6,top20_exp,0.77,pipeline/ranking.py
core,cells-agreement,8,5-of-6,rho_frac,0.637,pipeline/ranking.py
core,cells-agreement,8,5-of-6,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,5-of-6,cells_frac,112.0,pipeline/ranking.py
core,cells-agreement,8,6-of-6,rho,0.616,pipeline/ranking.py
core,cells-agreement,8,6-of-6,top20,0.65,pipeline/ranking.py
core,cells-agreement,8,6-of-6,top20_exp,0.67,pipeline/ranking.py
core,cells-agreement,8,6-of-6,rho_frac,0.608,pipeline/ranking.py
core,cells-agreement,8,6-of-6,cells,133.0,pipeline/ranking.py
core,cells-agreement,8,6-of-6,cells_frac,112.0,pipeline/ranking.py
